,ID,HIP,TYC,UCAC,2MASS,SDSS,Objtype,Kepflag,StpropFlag,RA,DEC,pmRA,e_pmRA,pmDEC,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Kp,Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H],Rad,e_Rad,Mass,e_Mass,rho,e_rho,Lum,e_Lum,d,e_d,E(B-V),NOMAD,Mflg,prox,umag0,Jmag0,Kmag0,rmag0,gmag0,Hmag0
112618,228796019,,,416-055168,11564338-0656583,,STAR,JHK,,179.180847,-6.949635000000001,4.9,20.3,-9.7,19.9,,,,,,,,,,,,,,,,,14.505999999999998,0.033,13.68,0.040999999999999995,13.569,0.052000000000000005,,,,,,,,,16.707,,,,,,,,,,,,,,,,,0.04105,,AAA-222-111-000-0-0,57.7,,14.476320849999999,13.5562745,,,13.661116999999999
120806,228804207,,,,12351033-0636079,,STAR,J,,188.793058,-6.602197,,,,,,,,,,,,,,,,,,,,,14.838,0.052000000000000005,14.105,0.04,13.824000000000002,0.052000000000000005,,,,,,,,,16.245,,,,,,,,,,,,,,,,,0.02084,0833-0263939,AAA-222-111-000-0-0,48.3,,14.82293268,13.817539600000002,,,14.0954136
121350,228804751,,,,12020420-0634475,,STAR,J,,180.517511,-6.579872,,,,,,,,,,,,,,,,,,,,,14.9,0.043,14.165999999999999,0.039,13.886,0.064,,,,,,,,,16.312,,,,,,,,,,,,,,,,,0.01208,0834-0242314,AAA-222-111-000-0-0,53.0,,14.89126616,13.8822552,,,14.160443199999998
123436,228806837,,,,11575980-0629419,,STAR,J,,179.499193,-6.494994,,,,,,,,,,,,,,,,,,,,,14.647,0.084,13.897,0.109,13.613,0.078,,,,,,,,,16.039,,,,,,,,,,,,,,,,,0.01375,0835-0233110,ABA-222-111-000-0-0,39.3,,14.63705875,13.6087375,,,13.890675
124177,228807578,,,,12541132-0627490,,STAR,JHK,,193.54718400000002,-6.463617,,,,,,,,,,,,,,,,,,,,,14.064,0.038,13.35,0.033,13.08,0.043,,,,,,,,,16.602999999999998,,,,,,,,,,,,,,,,,0.0108,0835-0243093,AAA-222-111-000-0-0,50.9,,14.0561916,13.076652,,,13.345032
125839,228809240,,,,12593866-0623294,,STAR,JHK,,194.911112,-6.391526,,,,,,,,,,,,,,,,,,,,,14.857999999999999,0.037000000000000005,14.120999999999999,0.039,13.866,0.057,,,,,,,,,17.401,,,,,,,,,,,,,,,,,0.01815,0836-0245062,AAA-222-111-000-0-0,73.6,,14.84487755,13.8603735,,,14.112650999999998
129842,228813243,,,419-055399,12323886-0613317,,STAR,JHK,,188.161847,-6.225459,-8.3,5.4,-4.8,5.4,,,,,,,,,,,,,,,,,14.595999999999998,0.028999999999999998,13.815999999999999,0.042,13.658,0.05,,,,,,,,,16.799,,,,,,,,,,,,,,,,,0.02881,,AAA-222-111-000-0-0,41.4,,14.575170369999999,13.6490689,,,13.8027474
130526,228813927,,,,12371386-0611412,,STAR,J,,189.307763,-6.194783,,,,,,,,,,,,,,,,,,,,,14.86,0.036000000000000004,14.118,0.035,13.815,0.053,,,,,,,,,16.269000000000002,,,,,,,,,,,,,,,,,0.03389,0838-0241205,AAA-222-111-000-0-0,49.1,,14.83549753,13.8044941,,,14.1024106
130582,228813983,,,420-055443,11555383-0611345,,STAR,JHK,,178.974285,-6.192945,,,,,,,,,,,,,,,,,,,,,13.927,0.055999999999999994,13.065,0.040999999999999995,12.885,0.038,,,,,,,,,16.387999999999998,,,,,,,,,,,,,,,,,0.01085,0838-0234032,AAA-222-111-cc0-0-0,6.9,,13.91915545,12.881636499999999,,,13.060008999999999
131592,228814993,,,,12192594-0609110,,STAR,JHK,,184.85808600000001,-6.153072,2.0,5.0,6.0,0.0,,,,,,,,,,,,,,,,,14.704,0.036000000000000004,13.937000000000001,0.049,13.795,0.057,,,,,,,,,16.842,,,,,,,,,,,,,,,,,0.02063,0838-0238121,AAA-222-111-000-0-0,65.4,,14.68908451,13.7886047,,,13.9275102
133739,228817140,,,420-055371,11530123-0603539,,STAR,gri,,178.255227,-6.064975,6.1,5.7,-1.8,5.4,,,16.203,0.06,15.218,0.09,,,15.651,0.05,14.868,0.04,14.478,0.07,,,13.764000000000001,0.068,13.02,0.081,12.682,0.059000000000000004,,,,,,,,,14.83,,,,,,,,,,,,,,,,,0.02119,,AAA-222-111-000-1-0,80.6,,13.748679630000002,12.6754311,14.81958085,15.58100943,13.0102526
135880,228819281,,,421-056109,11545531-0558327,,STAR,J,,178.730448,-5.975757,-0.3,7.9,-9.1,7.7,,,,,,,,,,,,,,,,,14.534,0.052000000000000005,13.787,0.063,13.507,0.065,,,,,,,,,15.917,,,,,,,,,,,,,,,,,0.02836,,AAA-222-111-000-0-0,20.1,,14.51349572,13.4982084,,,13.773954400000001
136506,228819907,,,,12384048-0556495,,STAR,JHK,,189.668686,-5.947101,,,,,,,,,,,,,,,,,,,,,15.011,0.044000000000000004,14.257,0.049,13.998,0.07200000000000001,,,,,,,,,17.396,,,,,,,,,,,,,,,,,0.0132,0840-0243907,AAA-222-111-000-0-0,26.9,,15.001456399999999,13.993908,,,14.250928
139013,228822414,,,,11542534-0550195,,STAR,JHK,,178.605611,-5.838773000000001,,,,,,,,,,,,,,,,,,,,,14.549000000000001,0.036000000000000004,13.777000000000001,0.031,13.607000000000001,0.05,,,,,,,,,16.761,,,,,,,,,,,,,,,,,0.02056,0841-0234847,AAA-222-111-000-0-0,73.6,,14.534135120000002,13.600626400000001,,,13.767542400000002
140302,228823703,,,422-054949,11591608-0547163,,STAR,gri,,179.81698400000002,-5.78789,1.4,6.1,-3.2,5.5,,,18.037,0.1,16.721,0.06,,,17.324,0.02,16.271,0.08199999999999999,15.815,0.124,,,14.38,0.027000000000000003,13.6,0.031,13.449000000000002,0.037000000000000005,,,,,,,,,16.268,,,,,,,,,,,,,,,,,0.0153,,AAA-222-111-000-0-0,23.8,,14.368938100000001,13.444257000000002,16.2360395,17.2734641,13.592962
140384,228823785,,,422-056017,12421827-0547061,,STAR,gri,,190.57628300000002,-5.785037,1.5,5.3,-2.7,5.1,,,16.654,0.06,15.527999999999999,0.03,,,15.984000000000002,0.04,15.181,0.04,14.757,0.05,,,13.685,0.055999999999999994,12.935,0.063,12.607999999999999,0.048,,,,,,,,,15.125,,,,,,,,,,,,,,,,,0.01441,,AAA-222-111-000-1-0,30.9,,13.67458157,12.6035329,15.148073149999998,15.936403770000002,12.9283714
141225,228824626,,,,12391380-0545042,,STAR,J,,189.807512,-5.75119,,,,,,,,,,,,,,,,,,,,,13.935,0.028999999999999998,13.207,0.033,12.925999999999998,0.035,,,,,,,,,15.277999999999999,,,,,,,,,,,,,,,,,0.01649,0842-0241255,AAA-222-111-000-0-0,40.8,,13.923077730000001,12.920888099999999,,,13.1994146
141903,228825304,,,,12212843-0543259,,STAR,JHK,,185.368476,-5.723877,,,,,,,,,,,,,,,,,,,,,14.798,0.051,14.059000000000001,0.067,13.857999999999999,0.062,,,,,,,,,17.274,,,,,,,,,,,,,,,,,0.01351,0842-0238349,AAA-222-111-000-0-0,53.4,,14.78823227,13.853811899999998,,,14.052785400000001
142093,228825494,,,,12184685-0542590,,STAR,JHK,,184.695248,-5.716391000000001,,,,,,,,,,,,,,,,,,,,,15.002,0.078,14.25,0.098,13.962,0.092,,,,,,,,,17.458,,,,,,,,,,,,,,,,,0.02559,0842-0237875,AAA-222-111-000-0-0,31.5,,14.983498430000001,13.9540671,,,14.2382286
143425,228826826,,,,12152349-0539415,,STAR,JHK,,183.847911,-5.661541000000001,,,,,,,,,,,,,,,,,,,,,14.889000000000001,0.043,14.179,0.036000000000000004,13.892000000000001,0.043,,,,,,,,,17.434,,,,,,,,,,,,,,,,,0.01678,0843-0237935,AAA-222-111-000-0-0,73.7,,14.876868060000001,13.886798200000001,,,14.171281200000001
143820,228827221,,,,11551260-0538389,,STAR,J,,178.802539,-5.64416,,,,,,,,,,,,,,,,,,,,,14.421,0.036000000000000004,13.677999999999999,0.032,13.360999999999999,0.043,,,,,,,,,15.796,,,,,,,,,,,,,,,,,0.01297,0843-0234395,AAA-222-111-000-0-0,72.1,,14.41162269,13.356979299999999,,,13.6720338
143901,228827302,,,,12114442-0538270,,STAR,JHK,,182.935124,-5.640842,-4.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,14.805,0.032,14.023,0.035,13.908,0.055,,,,,,,,,16.917,,,,,,,,,,,,,,,,,0.01436,0843-0237226,AAA-222-111-000-0-0,12.9,,14.79461772,13.9035484,,,14.0163944
144757,228828158,,,,12132928-0536199,,STAR,JHK,,183.372024,-5.605549,8.0,3.0,-8.0,1.0,,,,,,,,,,,,,,,,,14.527999999999999,0.028999999999999998,13.793,0.032,13.579,0.051,,,,,,,,,17.022000000000002,,,,,,,,,,,,,,,,,0.01819,0843-0237535,AAA-222-111-000-0-0,11.2,,14.51484863,13.573361100000001,,,13.7846326
145083,228828484,,,,12303654-0535267,,STAR,JHK,,187.652282,-5.590763,0.0,7.0,6.0,1.0,,,,,,,,,,,,,,,,,14.677999999999999,0.038,13.925999999999998,0.036000000000000004,13.725999999999999,0.055,,,,,,,,,16.913,,,,,,,,,,,,,,,,,0.02004,0844-0237376,AAA-222-111-000-0-0,33.9,,14.66351108,13.719787599999998,,,13.916781599999998
147031,228830432,,,423-058006,12333644-0530326,,STAR,gri,,188.401982,-5.509171,8.1,4.0,-5.9,4.1,,,18.003,0.14300000000000002,16.334,0.075,,,17.459,0.06,16.016,0.075,15.433,0.107,,,13.737,0.024,12.954,0.028999999999999998,12.767999999999999,0.033,,,,,,,,,16.041,,,,,,,,,,,,,,,,,0.02974,,AAA-222-111-000-0-0,35.5,,13.71549798,12.7587806,15.948044099999999,17.36076878,12.9403196
147663,228831064,,,,11590351-0529066,,STAR,JHK,,179.76463,-5.485181,-8.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,14.925999999999998,0.038,14.13,0.039,13.853,0.05,,,,,,,,,17.473,,,,,,,,,,,,,,,,,0.01434,0845-0234021,AAA-222-111-000-0-0,64.8,,14.915632179999998,13.8485546,,,14.123403600000001
150308,228833709,,,,12593021-0522353,,STAR,JHK,,194.875915,-5.376494,,,,,,,,,,,,,,,,,,,,,14.032,0.034,13.314,0.028999999999999998,13.039000000000001,0.035,,,,,,,,,16.576,,,,,,,,,,,,,,,,,0.02554,0846-0245152,AAA-222-111-000-0-0,40.2,,14.01353458,13.031082600000001,,,13.3022516
151476,228834877,,,,11590971-0519280,,STAR,JHK,,179.790468,-5.324469000000001,,,,,,,,,,,,,,,,,,,,,14.725999999999999,0.033,13.942,0.035,13.722999999999999,0.048,,,,,,,,,17.085,,,,,,,,,,,,,,,,,0.01829,0846-0234713,AAA-222-111-000-0-0,32.7,,14.712776329999999,13.7173301,,,13.9335866
152647,228836048,,,,13024538-0516423,,STAR,JHK,,195.689123,-5.278443,-8.0,2.0,8.0,2.0,,,,,,,,,,,,,,,,,14.564,0.033,13.79,0.033,13.647,0.045,,,,,,,,,16.72,,,,,,,,,,,,,,,,,0.01445,0847-0246839,AAA-222-111-000-0-0,22.1,,14.55355265,13.6425205,,,13.783353
152851,228836252,,,,12383894-0516148,,STAR,JHK,,189.66227800000001,-5.270782,-2.0,4.0,-8.0,1.0,,,,,,,,,,,,,,,,,14.854000000000001,0.04,14.100999999999999,0.037000000000000005,13.872,0.055,,,,,,,,,17.160999999999998,,,,,,,,,,,,,,,,,0.01983,0847-0241865,AAA-222-111-000-0-0,42.2,,14.839662910000001,13.8658527,,,14.091878199999998
153408,228836809,,,424-056242,12183906-0514446,,STAR,JHK,,184.66286599999998,-5.2457709999999995,-2.0,8.7,0.9,8.2,,,,,,,,,,,,,,,,,13.849,0.03,13.071,0.028999999999999998,12.925,0.036000000000000004,,,,,,,,,16.02,,,,,,,,,,,,,,,,,0.01122,,AAA-222-111-000-0-0,54.9,,13.84088794,12.9215218,,,13.0658388
153716,228837117,,,424-056843,12421831-0513573,6121-301-5-0127-0219,STAR,JHK,,190.576348,-5.2325870000000005,-0.1,6.2,-2.7,6.3,,,,,,,,,,,,,,,,,14.397,0.027000000000000003,13.6,0.03,13.387,0.043,,,,,,,,,16.774,,,,,,,,,,,,,,,,,0.0113,,AAA-222-111-000-0-0,48.1,,14.3888301,13.383497,,,13.594802
153835,228837236,,,,12341325-0513394,,STAR,JHK,,188.55521399999998,-5.227622,,,,,,,,,,,,,,,,,,,,,14.742,0.036000000000000004,13.985999999999999,0.033,13.838,0.057999999999999996,,,,,,,,,16.869,,,,,,,,,,,,,,,,,0.01216,0847-0241061,AAA-222-111-000-0-0,36.3,,14.733208320000001,13.8342304,,,13.9804064
154216,228837617,,,,12101438-0512440,,STAR,JHK,,182.559958,-5.212234,,,,,,,,,,,,,,,,,,,,,14.960999999999999,0.039,14.200999999999999,0.039,13.994000000000002,0.06,,,,,,,,,17.232,,,,,,,,,,,,,,,,,0.02634,0847-0237097,AAA-222-111-000-0-0,98.3,,14.941956179999998,13.985834600000002,,,14.188883599999999
155348,228838749,,,425-056339,12040276-0509433,,STAR,gri,,181.011523,-5.162077,3.0,11.2,0.9,10.3,,,16.72,0.06,15.624,0.03,,,16.14,0.08,15.335,0.07,14.769,0.086,,,14.125,0.071,13.397,0.09300000000000001,13.142000000000001,0.062,,,,,,,,,15.18,,,,,,,,,,,,,,,,,0.01516,,AAA-222-111-000-1-0,52.9,,14.11403932,13.1373004,15.300359400000001,16.089926520000002,13.3900264
158924,228842325,,,,12131198-0500546,,STAR,JHK,,183.299941,-5.015185,,,,,,,,,,,,,,,,,,,,,14.572000000000001,0.028999999999999998,13.81,0.033,13.565999999999999,0.042,,,,,,,,,16.939,,,,,,,,,,,,,,,,,0.01811,0849-0236453,AAA-222-111-000-0-0,93.0,,14.55890647,13.560385899999998,,,13.8016694
159757,228843158,,,426-057517,13000882-0458488,,STAR,gri,,195.0368,-4.980198000000001,0.0,4.1,-2.3,4.7,,,17.285,0.07,15.817,0.14,,,16.423,0.02,15.357999999999999,0.12,14.784,0.12,,,13.387,0.027999999999999997,12.617,0.026000000000000002,12.478,0.026000000000000002,,,,,,,,,15.276,,,,,,,,,,,,,,,,,0.01747,,AAA-222-111-000-0-0,27.6,,13.374369190000001,12.4725843,15.318081049999998,16.36529659,12.608963800000001
160070,228843471,,,,11555681-0458037,,STAR,JHK,,178.986724,-4.967708999999999,,,,,,,,,,,,,,,,,,,,,14.93,0.039,14.183,0.040999999999999995,13.978,0.051,,,,,,,,,17.429000000000002,,,,,,,,,,,,,,,,,0.03096,0850-0233655,AAA-222-111-000-0-0,75.9,,14.90761592,13.9684024,,,14.1687584
163661,228847062,,,,12294164-0448539,,STAR,JHK,,187.423505,-4.81499,,,,,,,,,,,,,,,,,,,,,14.735999999999999,0.035,13.979000000000001,0.039,13.713,0.059000000000000004,,,,,,,,,17.147000000000002,,,,,,,,,,,,,,,,,0.021,0851-0237473,AAA-222-111-000-0-0,37.5,,14.720816999999998,13.706489999999999,,,13.96934
166790,228850191,,,,12323623-0441054,,STAR,JHK,,188.15098600000002,-4.684855000000001,,,,,,,,,,,,,,,,,,,,,14.759,0.037000000000000005,13.958,0.042,13.715,0.053,,,,,,,,,17.226,,,,,,,,,,,,,,,,,0.00991,0853-0235656,AAA-222-111-000-0-0,20.1,,14.75183507,13.7119279,,,13.9534414
170237,228853638,,,,12341527-0432184,,STAR,JHK,,188.563658,-4.53845,,,,,,,,,,,,,,,,,,,,,14.472999999999999,0.03,13.757,0.03,13.487,0.045,,,,,,,,,17.012999999999998,,,,,,,,,,,,,,,,,0.0236,0854-0237094,AAA-222-111-000-0-0,36.2,,14.4559372,13.479684,,,13.746144
173477,228856878,,,,12211001-0423581,,STAR,JHK,,185.291737,-4.399474,,,,,,,,,,,,,,,,,,,,,15.0,0.084,14.235,0.094,13.954,0.083,,,,,,,,,17.472,,,,,,,,,,,,,,,,,0.02032,0856-0234463,AAA-222-111-000-0-0,77.6,,14.98530864,13.9477008,,,14.225652799999999
174701,228858102,,,,12070365-0420512,,STAR,JHK,,181.765233,-4.347565,,,,,,,,,,,,,,,,,,,,,14.675999999999998,0.076,13.92,0.08,13.595999999999998,0.076,,,,,,,,,17.243,,,,,,,,,,,,,,,,,0.01923,0856-0232048,AAA-222-111-000-0-0,25.7,,14.662096709999998,13.5900387,,,13.9111542
177918,228861319,,,,12005666-0412503,,STAR,JHK,,180.236089,-4.213983,8.0,2.0,-6.0,2.0,,,,,,,,,,,,,,,,,14.497,0.03,13.765,0.027999999999999997,13.52,0.04,,,,,,,,,17.03,,,,,,,,,,,,,,,,,0.02479,0857-0229024,AAA-222-111-000-0-0,64.2,,14.47907683,13.5123151,,,13.7535966
186600,228870001,,,431-056036,12144672-0350329,,STAR,JHK,,183.69471399999998,-3.842479,-0.2,3.0,1.9,3.2,,,,,,,,,,,,,,,,,13.647,0.027000000000000003,12.89,0.033,12.7,0.023,,,,,,,,,15.870999999999999,,,,,,,,,,,,,,,,,0.02087,,AAA-222-111-000-0-0,8.1,,13.63191099,12.693530299999999,,,12.880399800000001
187268,228870669,,,,12154929-0348380,,STAR,JHK,,183.955384,-3.8105800000000003,,,,,,,,,,,,,,,,,,,,,14.958,0.036000000000000004,14.197000000000001,0.038,14.001,0.06,,,,,,,,,17.205,,,,,,,,,,,,,,,,,0.02661,0861-0241966,AAA-222-111-000-0-0,23.0,,14.93876097,13.992750899999999,,,14.1847594
199360,228882761,,,,12445529-0334203,,STAR,JHK,,191.230409,-3.57231,,,,,,,,,,,,,,,,,,,,,14.940999999999999,0.046,14.172,0.03,13.954,0.055,,,,,,,,,17.26,,,,,,,,,,,,,,,,,0.00956,0864-0251278,AAA-222-111-000-0-0,37.5,,14.934088119999998,13.951036400000001,,,14.1676024
200760,228884161,,,433-057532,12362880-0332563,1231-301-1-0133-0098,STAR,BV,,189.12001999999998,-3.549039,-3.7,3.3,-0.6,3.6,,,17.848,0.15,16.445,0.078,,,,,,,,,,,13.962,0.03,13.152999999999999,0.026000000000000002,13.024000000000001,0.027000000000000003,,,,,,,,,16.167,,,,,,,,,,,,,,,,,0.01483,,AAA-222-111-000-0-0,38.6,,13.95127791,13.0194027,,,13.146178199999998
201142,228884543,,,433-057127,12195023-0332329,1140-301-1-0214-0149,STAR,JHK,,184.959259,-3.5424589999999996,0.2,5.6,1.9,5.6,,,,,,,,,,,,,,,,,14.231,0.035,13.42,0.032,13.342,0.032,,,,,,,,,16.578,,,,,,,,,,,,,,,,,0.01273,,AAA-222-111-000-0-0,23.6,,14.221796209999999,13.3380537,,,13.414144199999999
203392,228886793,,,,12493010-0330195,6121-301-1-0139-0190,STAR,gri,,192.375437,-3.505432,-3.0,3.0,0.0,3.0,,,,,,,21.035,0.08800000000000001,17.927,0.006,16.713,0.005,16.208,0.005,15.913,0.006999999999999999,14.716,0.03,13.895,0.033,13.71,0.052000000000000005,,,,,,,,,16.724,,,,,,,,,,,,,,,,,0.01283,,AAA-222-111-000-0-0,52.0,20.98061363,14.70672391,13.7060227,16.68368345,17.88462251,13.8890982
208551,228891952,,,,12595250-0325063,,STAR,J,,194.968765,-3.4184339999999995,,,,,,,,,,,,,,,,,,,,,14.949000000000002,0.040999999999999995,14.242,0.043,13.948,0.065,,,,,,,,,16.365,,,,,,,,,,,,,,,,,0.01385,0865-0254344,AAA-222-111-000-0-0,59.4,,14.938986450000002,13.943706500000001,,,14.235629000000001
210421,228893822,,,,12490727-0323050,,STAR,JHK,,192.280304,-3.3847370000000003,,,,,,,,,,,,,,,,,,,,,15.029000000000002,0.07200000000000001,14.277999999999999,0.09,13.995999999999999,0.086,,,,,,,,,17.465999999999998,,,,,,,,,,,,,,,,,0.01283,0866-0253295,AAA-222-111-000-0-0,60.9,,15.019723910000002,13.992022699999998,,,14.272098199999999
213931,228897332,,,,12053880-0319232,1231-301-2-0081-0154,STAR,gri,,181.411708,-3.323115,-3.0,3.0,-6.0,3.0,,,,,,,21.230999999999998,0.113,18.607,0.008,17.184,0.005,16.421,0.004,15.962,0.006999999999999999,14.85,0.03,14.109000000000002,0.034,13.868,0.048,,,,,,,,,17.077,,,,,,,,,,,,,,,,,0.02347,,AAA-222-111-000-0-0,97.4,21.131510669999997,14.83303119,13.860724300000001,17.13037105,18.52947859,14.098203800000002
215879,228899280,,,434-056237,12081786-0317186,1231-301-2-0086-0102,STAR,gri,,182.07443999999998,-3.2885480000000005,7.8,5.6,8.1,5.3,,,18.137,0.02,16.5,0.09,,,17.297,0.1,15.93,0.01,15.434000000000001,0.14,,,13.83,0.026000000000000002,12.992,0.023,12.784,0.027000000000000003,,,,,,,,,15.993,,,,,,,,,,,,,,,,,0.01424,,AAA-222-111-000-0-0,66.0,,13.81970448,12.7795856,15.8974616,17.24996528,12.9854496
221669,228905070,,,,12562222-0311110,1231-301-2-0166-0123,STAR,gri,,194.09258400000002,-3.186408,-7.0,3.0,-8.0,3.0,,,,,,,22.103,0.209,19.179000000000002,0.011000000000000001,17.787,0.006,16.73,0.005,16.137,0.006999999999999999,14.902000000000001,0.038,14.152999999999999,0.036000000000000004,13.992,0.064,,,,,,,,,17.465,,,,,,,,,,,,,,,,,0.01878,,AAA-222-111-000-0-0,63.3,22.023391580000002,14.888422060000002,13.986178200000001,17.744087699999998,19.116969660000002,14.144361199999999
227517,228910918,,,,12310850-0305134,1140-301-2-0233-0095,STAR,gri,,187.785433,-3.087079,-6.0,3.0,-2.0,3.0,,,,,,,20.575,0.066,17.975,0.006,16.544,0.004,15.613,0.003,15.099,0.005,13.892999999999999,0.027999999999999997,13.155999999999999,0.026000000000000002,12.885,0.031,,,,,,,,,16.322,,,,,,,,,,,,,,,,,0.01721,,AAA-222-111-000-0-0,37.1,20.50204681,13.88055717,12.8796649,16.50467515,17.91815537,13.148083399999999
229096,228912497,,,,12393129-0303289,1140-301-2-0247-0224,STAR,gri,,189.880404,-3.058031,-6.0,3.0,8.0,3.0,,,,,,,21.018,0.085,18.41,0.006999999999999999,17.051,0.005,16.299,0.004,15.868,0.006,14.763,0.04,13.987,0.042,13.889000000000001,0.06,,,,,,,,,16.932000000000002,,,,,,,,,,,,,,,,,0.01306,,AAA-222-111-000-0-0,26.4,20.96263866,14.75355762,13.8849514,17.0211579,18.36686282,13.9809924
241132,228924533,,,436-057066,12582242-0250481,,STAR,JHK,,194.593414,-2.8466549999999997,-2.7,3.6,4.7,3.7,,,,,,,,,,,,,,,,,13.267999999999999,0.027000000000000003,12.398,0.024,12.19,0.024,,,,,,,,,15.83,,,,,,,,,,,,,,,,,0.01318,,AAA-222-111-000-0-0,31.9,,13.25847086,12.1859142,,,12.3919372
245834,228929235,,,437-055545,12571953-0245504,1231-301-3-0167-0180,STAR,gri,,194.33146499999998,-2.764026,4.7,6.6,6.6,6.6,,,18.622,0.3,16.889,0.095,,,17.932000000000002,0.09699999999999999,16.456,0.08800000000000001,16.012,0.134,,,14.540999999999999,0.033,13.764000000000001,0.039,13.579,0.049,,,,,,,,,16.588,,,,,,,,,,,,,,,,,0.01281,,AAA-222-111-000-0-0,85.2,,14.53173837,13.575028900000001,16.42672915,17.88968857,13.758107400000002
249241,228932642,,,,12071536-0242097,1140-301-3-0193-0133,STAR,gri,,181.814025,-2.702703,3.0,3.0,-8.0,3.0,,,,,,,22.41,0.20800000000000002,19.736,0.013999999999999999,18.19,0.006999999999999999,16.669,0.005,15.822000000000001,0.006999999999999999,14.427999999999999,0.040999999999999995,13.695,0.033,13.398,0.047,,,,,,,,,17.589000000000002,,,,,,,,,,,,,,,,,0.01763,,AAA-222-111-000-0-0,85.8,22.33526643,14.41525351,13.3925347,18.149715450000002,19.677768110000002,13.6868902
250679,228934080,,,,12552279-0240396,,STAR,J,,193.844966,-2.67769,,,,,,,,,,,,,,,,,,,,,14.707,0.04,13.982999999999999,0.047,13.672,0.055,,,,,,,,,16.104,,,,,,,,,,,,,,,,,0.01446,0873-0328678,AAA-222-111-000-0-0,9.5,,14.696545420000001,13.667517400000001,,,13.9763484
258259,228941660,,,,12284876-0232268,1140-301-3-0229-0146,STAR,gri,,187.203171,-2.5408049999999998,2.0,3.0,8.0,3.0,,,,,,,21.000999999999998,0.077,18.311,0.006999999999999999,16.922,0.004,16.241,0.004,15.865,0.006999999999999999,14.735,0.033,13.985999999999999,0.032,13.814,0.052000000000000005,,,,,,,,,16.862000000000002,,,,,,,,,,,,,,,,,0.03731,,AAA-222-111-000-0-0,39.4,20.842842909999998,14.70802487,13.8024339,16.836746650000002,18.18776507,13.968837399999998
261178,228944579,,,438-056825,12575532-0229204,1140-301-3-0278-0081,STAR,JHK,,194.48048500000002,-2.489092,-4.3,3.7,-3.3,5.1,,,,,,,,,,,,,,,,,14.349,0.024,13.58,0.033,13.39,0.038,,,,,,,,,16.601,,,,,,,,,,,,,,,,,0.01347,,AAA-222-111-000-0-0,34.3,,14.33926119,13.385824300000001,,,13.5738038
277712,228961113,,,,12312569-0211471,1140-301-4-0233-0196,STAR,gri,,187.857081,-2.196418,1.0,3.0,1.0,3.0,,,,,,,21.805999999999997,0.16699999999999998,18.358,0.006999999999999999,17.026,0.005,16.475,0.004,16.16,0.008,14.882,0.048,14.067,0.036000000000000004,13.95,0.06,,,,,,,,,17.04,,,,,,,,,,,,,,,,,0.01111,,AAA-222-111-000-0-0,50.8,21.758904709999996,14.87396747,13.9465559,17.00061365,18.32130367,14.0618894
283069,228966470,,,,12174833-0205507,1140-301-4-0211-0101,STAR,gri,,184.451416,-2.097433,-3.0,3.0,7.0,3.0,,,,,,,21.320999999999998,0.092,19.011,0.009000000000000001,17.55,0.006,16.57,0.005,16.023,0.006999999999999999,14.818,0.040999999999999995,14.045,0.033,13.842,0.046,,,,,,,,,17.302,,,,,,,,,,,,,,,,,0.01531,,AAA-222-111-000-0-0,62.7,21.256100909999997,14.80693087,13.8372539,17.51501665,18.96043107,14.0379574
284423,228967824,,,,11585271-0204247,1140-301-4-0179-0157,STAR,gri,,179.719626,-2.0735360000000003,-2.0,3.0,2.0,3.0,,,,,,,20.76,0.057,18.116,0.006,16.784000000000002,0.005,16.128,0.004,15.751,0.006,14.640999999999998,0.035,13.868,0.036000000000000004,13.710999999999999,0.039,,,,,,,,,16.724,,,,,,,,,,,,,,,,,0.01171,,AAA-222-111-000-0-0,72.3,20.710361310000003,14.632533669999999,13.707369899999998,16.757242650000002,18.07732187,13.8626134
285037,228968438,,,440-054601,12251148-0203436,1231-301-5-0114-0048,STAR,gri,,186.29789499999998,-2.062116,-9.8,3.8,7.7,4.0,,,16.914,0.07,15.65,0.04,,,16.357,0.06,15.185,0.05,14.753,0.1,,,13.642999999999999,0.036000000000000004,12.854000000000001,0.023,12.698,0.026000000000000002,,,,,,,,,15.234000000000002,,,,,,,,,,,,,,,,,0.01338,,AAA-222-111-000-0-0,74.6,,13.633326259999999,12.6938522,15.1544267,16.31280586,12.847845200000002
295137,228978538,,,,12162028-0152367,1231-301-5-0099-0140,STAR,gri,,184.084504,-1.876883,-2.0,3.0,-9.0,3.0,,,,,,,20.996,0.092,18.43,0.006999999999999999,17.055999999999997,0.004,16.426,0.004,16.048,0.006999999999999999,14.954,0.037000000000000005,14.164000000000001,0.047,13.972999999999999,0.057,,,,,,,,,17.027,,,,,,,,,,,,,,,,,0.01613,,AAA-222-111-000-0-0,23.3,20.92762493,14.94233801,13.967999699999998,17.01914295,18.376722609999998,14.156580200000002
