#Table1
ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,teffadop,fehadop,loggadop,ELODIERVFINAL,ELODIERVFINALerr,snr,flag
21.9382040033544,-0.585687126328675,19.27143,17.62319,17.04441,16.8048,16.67205,5265.906,-0.68664,3.818712,-23.65839,1.864297,29.79048,nnBnn
22.6167650065774,-0.23938769440861,17.52435,16.06379,15.51815,15.35544,15.27391,5504.411,-0.4603419,4.312079,28.17075,1.102929,49.73918,nnnnn
15.0279482587978,1.20490262140132,18.79968,17.75714,17.36163,17.21753,17.16892,5974.57,-0.7500097,3.923738,-74.19584,3.148019,26.97465,nnnnn
20.8194338813184,0.932912190621765,19.28073,17.66709,17.12822,16.92582,16.81754,5353.396,-0.4382582,4.387268,-43.2998,1.904764,26.92382,nnBnn
21.5227277075509,0.192858190176294,18.09052,16.64381,16.08352,15.92052,15.82417,5566.953,-0.3114035,4.395098,-50.40128,0.9080966,47.87552,nnnnn
9.78082557879929,-0.573397516064231,18.36233,17.53082,17.14283,16.95508,16.88262,5893.685,-2.252665,4.304857,-92.46313,4.702565,26.93771,nnnnn
19.5138035497777,6.48673390877743,19.35713,17.86116,17.25269,16.94991,16.81091,5229.454,-0.9530417,3.600804,-18.12666,1.783334,50.61371,nnnnn
18.4820379477047,6.14020902858497,19.488,18.18323,17.69624,17.49546,17.37135,5664.444,-0.7019894,4.273829,10.06664,1.921053,40.60939,nnnnn
19.7799625415545,7.66429486194164,19.69699,18.21446,17.63834,17.45419,17.37927,5404.545,-0.7184805,4.286488,-36.11871,1.444985,43.32614,nnnnn
9.89665095055904,0.802469605980228,18.13804,16.80076,16.27776,16.10025,16.00417,5559.093,-0.5644437,4.449337,14.77236,1.284088,37.48504,nnnnn
10.5490833352001,0.344738095278438,19.16308,17.95653,17.38142,17.22792,17.09958,5395.762,-1.371919,3.066279,-55.94348,3.612791,25.05123,nnngn
11.4187996615094,-0.664758068224025,19.10822,17.7778,17.23247,17.02183,16.93578,5348.966,-0.7229024,3.559834,-46.58613,2.73313,26.1472,nnnnn
19.4955551029604,7.52002428164971,18.5312,17.2769,16.76563,16.57955,16.48997,5564.924,-0.6439149,4.393892,132.245,0.8081242,65.52578,nnnnn
15.0987715788703,-0.82975424722071,20.24747,19.18853,18.80186,18.62586,18.55604,5874.237,-0.9521976,4.109437,-83.74121,4.12577,22.47775,nnnnn
17.9752594634143,7.70593545181564,19.8935,18.35514,17.70927,17.4865,17.37516,5393.165,-0.6699028,4.397129,-35.30523,1.303025,42.17974,nnnnn
13.330326972802,0.0508395047178681,19.73632,18.39376,17.87356,17.66502,17.58104,5366.882,-0.9773392,4.163625,67.35712,1.724058,32.42236,nnnnn
14.6307420451608,1.13507542509944,17.4506,16.34695,15.87758,15.69276,15.61538,5610.431,-1.222637,4.358754,-136.9461,0.8385334,84.4094,nnngn
19.3206345470659,6.39988255179615,19.1479,17.90041,17.36106,17.1275,17.02877,5498.668,-0.8950753,4.382909,-122.5101,1.678015,47.62198,nnnnn
13.9609908297368,-0.681701398136192,19.22033,18.28116,17.8256,17.6729,17.58772,5677.669,-1.793142,3.94387,-90.93082,2.72004,41.14627,nnngn
14.0501616498579,0.219550595080576,18.23056,16.87512,16.36593,16.19799,16.15115,5547.428,-0.4970375,4.349168,-25.46571,0.7766852,76.62027,nnnnn
18.8625823060739,8.27650258204359,19.90518,18.55774,17.95665,17.75483,17.63465,5422.039,-0.9555097,4.425069,-67.08589,1.771536,37.28592,nnnnn
18.2831423963952,7.85924109207836,20.10181,18.40911,17.67492,17.40815,17.25331,5233.308,-0.4144942,4.527188,-42.56307,1.075475,43.75068,nnnnn
11.7550395968298,0.175841549685885,19.44296,18.14253,17.67619,17.49911,17.40169,5517.89,-0.7081136,4.217031,4.260333,2.532761,31.61866,nnnnn
14.5122702761681,0.48508868314077,19.52052,18.20013,17.81487,17.63027,17.49828,5591.919,-1.6165,2.048955,-87.85219,2.326046,43.2266,nnnnn
